pid,caridischo_genre,label,claimed_genre,link,open_access,status,language,creators,stewards,blurb,added_by,added_year,notes,order,layout,collection,thumbnail,full
cds21,Collections & Curations,Academia Historia Dominicana: Revista Clío,publicaciones,https://www.academiadominicanahistoria.org.do/?page_id=53,TRUE,Active,es,Dr. Federico Henríquez y Carvajal,,"The Dominican Academy of History was created by Decree No. 186 of July 23, 1931. With the primary objective of knowing and studying the past in general, and mainly that of the Dominican nation.",,2020,,084,caridischo_item,caridischo,"",""
cds20,Maps & Visualizations,19th Century Caribbean Cholera Timemap,a timemap,"http://caribbeancholera.org/cholera_timemap11.html#zoom=5&center=20.13847031245115,-74.3994140625&date=1853-05-01",TRUE,In Disrepair,en,Deborah Jenson et al.,"John Hope Franklin Humanities Institute, Duke University","This timemap locates the main cholera outbreaks in the Caribbean in the 19th century, citing the journalistic sources at the time of each outbreak.",Roopika Risam,2020,,083,caridischo_item,caridischo,"",""
cds34,Collections & Curations,Caribbean Memory Project,collection of archives,https://www.caribbeanmemoryproject.com/,TRUE,Active,en,"Kevin Adonis Browne, Dawn Cumberbatch",,"​The Caribbean Memory Project promotes public awareness and participation in the collection and circulation of everyday archives for cultural, social, and historical research.",Kaiama L. Glover,2020,,097,caridischo_item,caridischo,"",""
cds132,Collections & Curations,The Barbados Synagogue Restoration Project,a collection,https://dloc.com/ibsrp,TRUE,Active,en,Amalia S. Levi; Digital Library of the Caribbean,Digital Library of the Caribbean,"Digitized archives from the restoration works of the \""Nidhe Israel\"" Synagogue in Bridgetown, Barbados.",Amalia S. Levi,2020,,037,caridischo_item,caridischo,"",""
cds126,Collections & Curations,Santería Music Database,a database,http://furius.ca/santeriadb/,TRUE,Stable,"en, es",Martin Blais,,"Welcome to the Santería music database, a collection of information about afro-cuban folkloric music. The main purpose of this database is to cross-reference the different resources and recordings to the batá drum rhythms (\""toques\"") and chants (\""cantos\"") of the Santería religion.",,2020,,030,caridischo_item,caridischo,"",""
cds122,Collections & Curations,Slave Societies Digital Archive,a digital archive,https://www.slavesocieties.org,TRUE,Active,en,Jane Landers,,"The Slave Societies Digital Archive (formerly Ecclesiastical and Secular Sources for Slave Societies), directed by Jane Landers and hosted at Vanderbilt University, preserves endangered ecclesiastical and secular documents related to Africans and African-descended peoples in slave societies. SSDA holdings include more than 700,000 digital images drawn close to 2,000 unique volumes dating from the sixteenth through twentieth centuries that document the lives of an estimated four to six million individuals. This collection contains the most extensive serial records for the history of Africans in the Atlantic World, and also includes valuable information about the indigenous, European, and Asian populations who lived alongside them.",Kaiama L. Glover,2020,,026,caridischo_item,caridischo,"",""
cds136,Collections & Curations,Radio Haiti (Pilot site),a digital collection,http://radiohaitilives.com/,TRUE,Active,"en, ht, fr","Laura Wagner, Meagan Bonnell, Laurent Dubois",Duke University (Forum for Scholars and Publics),"Pilot website for the Radio Haiti project, created by the Forum for Scholars and Publics before the bulk of the collection was digitized",Kaiama L. Glover,2020,edited by Laura Wagner,041,caridischo_item,caridischo,"",""
cds30,Cabinet of Wonders,Coasts in Crisis: Caribbean Arts and Cultures after Hurricanes,a platform,http://coastsincrisis.net/,TRUE,In Development,"en, es",Charlotte Rogers,University of Virginia,This a digital space that explores the cultural meaning of the hurricane through Caribbean art. It features work from artists who experienced Hurricanes Irma and María in 2017 and gathered at the University of Virginia on September 2019 to present and discuss their work.,Winnie Pérez Martínez,2020,,093,caridischo_item,caridischo,img/derivatives/simple/cds30/thumbnail.jpg,img/derivatives/simple/cds30/fullwidth.jpg
cds24,Publications & Blogs,Beyond the Sugar Curtain,a project,https://www.brown.edu/research/projects/tracing-cuba-us-connections/home-inicio,TRUE,Active,"en, es",Jennifer Lambe,Brown University,"Initiated by the former General Council of Martinique, the Banque Numérique des Patrimoines Martiniquais is an access portal to documentary resources on the cultural and historical heritage of Martinique backed by the geographic information system of Martinique (SIGMA).",Roopika Risam,2020,,086,caridischo_item,caridischo,img/derivatives/simple/cds24/thumbnail.jpg,img/derivatives/simple/cds24/fullwidth.jpg
cds18,Collections & Curations,Biblioteca Nacional Aruba: Coleccion Digital,colección digital,https://archive.org/details/bibliotecanacionalaruba&sort=date,TRUE,Archived,es,Biblioteca Nacional Aruba,Internet Archive,Digital Collection of the Aruba National Library.,Alex Gil,2020,,080,caridischo_item,caridischo,img/derivatives/simple/cds18/thumbnail.jpg,img/derivatives/simple/cds18/fullwidth.jpg
cds19,Publications & Blogs,Age of Revolutions,"an open-access, peer-reviewed academic journal",https://ageofrevolutions.com/,TRUE,Active,en,Bryan Banks Cindy Ermus,,"The word “revolution” is a human tool. At any point in time, its meaning has shifted to accommodate those wielding it. By establishing a site like this — Age of Revolutions — we are participating in the humanities, surveying revolutionary changes in history, encouraging the comparative study of revolutions, and exploring the hopes imbued in the term “revolution.”",,2020,,081,caridischo_item,caridischo,img/derivatives/simple/cds19/thumbnail.jpg,img/derivatives/simple/cds19/fullwidth.jpg
cds25,Collections & Curations,Archivo Mesoamericano,archivo,https://archivomesoamericano.org/,TRUE,Active,"es, en",,"Digital Collection Services, Indiana University","El Archivo Mesoamericano representa un archivo digital que consiste de grabaciones históricas y etnográficas, montado en colaboración con estas instituciones respectivas: el Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS, México), el Instituto de Historia de Nicaragua y Centroamérica (IHNCA, Nicaragua), y el Museo de la Palabra y la Imagen (MUPI, El Salvador). / Archivo Mesoamericano is a digital archive of annotated historical and ethnographic video materials created in collaboration with the Center for Research and Advanced Studies in Social Anthropology (CIESAS) in Mexico, the Institute of History of Nicaragua and Central America (IHNCA) in Nicaragua, and the Museum of the Word and the Image (MUPI) in El Salvador. ",Mary Borgo Ton,2020,,087,caridischo_item,caridischo,img/derivatives/simple/cds25/thumbnail.jpg,img/derivatives/simple/cds25/fullwidth.jpg
cds31,Collections & Curations,Digital Library of the Caribbean,digital library,https://www.dloc.com/,TRUE,Active,"en, fr, es, du, ht",UFL/FIU,UFL/FIU,The Digital Library of the Caribbean (dLOC) is a cooperative digital library for resources from and about the Caribbean and circum-Caribbean.,Alex Gil,2020,,094,caridischo_item,caridischo,img/derivatives/simple/cds31/thumbnail.jpg,img/derivatives/simple/cds31/fullwidth.jpg
cds137,Collections & Curations,Saint-Domingue Lost: Imperial French Narratives of the Haitian Revolution,a multimedia exhibit,https://scalar.usc.edu/works/saint-domingue-lost-imperial-french-narratives-of-the-haitian-revolution/index,TRUE,Stable,"en, fr",Andrew Blank Morgan Cornacchini  Nathan H. Dize Porter Geer Paul Miller Mikael Reijonen Claire Weinstein Elisabeth Zak,,"The Spring 2018 version of Vanderbilt’s FREN 3621: Enlightenment and Revolution course explores the historical forces, motivating ideas and consequences relating to the events of the French revolutionary period of 1789-1794 and the Haitian revolutionary period of 1791-1804.",,2020,,042,caridischo_item,caridischo,img/derivatives/simple/cds137/thumbnail.jpg,img/derivatives/simple/cds137/fullwidth.jpg
cds123,Maps & Visualizations,Mapping the Haitian Revolution,maps,https://www.mappinghaitianrevolution.com/,TRUE,Active,en,"Stephanie Curci, Christopher Jones, Axis Maps","Stephanie Curci, Christopher Jones","A map and timeline of the Haitian Revolution, with additional educational resources designed for high school students.",Stephanie Curci,2020,,027,caridischo_item,caridischo,img/derivatives/simple/cds123/thumbnail.jpg,img/derivatives/simple/cds123/fullwidth.jpg
cds109,Collections & Curations,Memory of Cuban Nation,an exhibit,https://www.memoryofnations.eu/en/memory-cuban-nation-instrument-transformation-cuban-society-real-freedom,TRUE,Stable,"en, pl, cz","Post Bellum, Florida International University",,Instrument for the transformation of the Cuban society to the real freedom,Roopika Risam,2020,,011,caridischo_item,caridischo,img/derivatives/simple/cds109/thumbnail.jpg,img/derivatives/simple/cds109/fullwidth.jpg
cds135,Maps & Visualizations,The Black British Map,maps,https://theblackbritishmap.wordpress.com/,TRUE,In Development,en,Liberty Martin,,"A map of Black British protests, uprisings and battles throughout the 20th century",Liberty Martin,2020,From The Caribbean Digital seminar,040,caridischo_item,caridischo,img/derivatives/simple/cds135/thumbnail.jpg,img/derivatives/simple/cds135/fullwidth.jpg
cds121,Cabinet of Wonders,Mi María,a mass-listening project,https://mimariapr.org/,TRUE,In Development,en,Ricia Anne Chansky,UPRM,Mi María: Puerto Rico after the Hurricane is a mass-listening project that collects and circulates stories of Puerto Ricans who have survived Hurricane María and are trying to survive its aftermaths amidst innumerable humanitarian concerns and social justice issues. ,Roopika Risam,2020,,025,caridischo_item,caridischo,img/derivatives/simple/cds121/thumbnail.jpg,img/derivatives/simple/cds121/fullwidth.jpg
cds27,Collections & Curations,The Barbadian,digitization,https://eap.bl.uk/project/EAP1251,TRUE,Active,en,"Amalia S. Levi, et al",Endangered Archives Programme,"Digitized historical newspaper \""The Barbadian\"" (1822-1863).",Amalia S. Levi,2020,,089,caridischo_item,caridischo,img/derivatives/simple/cds27/thumbnail.jpg,img/derivatives/simple/cds27/fullwidth.jpg
cds33,Collections & Curations,Carisealand,digital research project,http://archipelagosjournal.org/issue04/esprit-carisealand.html,TRUE,In Development,en,Schuyler Esprit,,"The Carisealand (Caribbean Sea and Land) digital research project, launched in 2015 by scholar, teacher, and activist Schuyler K Esprit, provides an interactive framework within which to imagine a more sustainable way of life for Caribbean people, both in the present day and in the future. The project aims to create awareness around the impact of climate change in the Caribbean region; to initiate and sustain collaborations with scholars and artists in an effort to find solutions to social injustices resulting from climate change activity; and to present models for alternate Caribbean futures.",Kaiama L. Glover,2020,,096,caridischo_item,caridischo,img/derivatives/simple/cds33/thumbnail.jpg,img/derivatives/simple/cds33/fullwidth.jpg
cds32,Publications & Blogs,CUNY Dominican Institute Publications ,publications,https://academicworks.cuny.edu/dsi_pubs/,TRUE,Stable,en,,CUNY Dominican Studies Institute,"CUNY Academic Works is a service of the CUNY Libraries dedicated to collecting and providing access to the research, scholarship, and creative and pedagogical work of the City University of New York. In service to CUNY’s mission as a public university, content in Academic Works is freely available to all.",,2020,,095,caridischo_item,caridischo,img/derivatives/simple/cds32/thumbnail.jpg,img/derivatives/simple/cds32/fullwidth.jpg
cds26,Publications & Blogs,A Boricua Abroad,[blog],https://aboricuaabroad.wordpress.com/,TRUE,Stable,en,Jennifer Caroccio,,"Jennifer Caroccio is a doctoral student in the American Studies Program at Rutgers-University-Newark. Her research interests are in U.S. Latin@ culture & literature, folktales, and graphic novels. Employing Women of Color Feminist, Postcolonial, and Critical Race theories, she examines issues of racial identity and misogyny in Caribbean and Caribbean-American texts.",Roopika Risam,2020,,088,caridischo_item,caridischo,img/derivatives/simple/cds26/thumbnail.jpg,img/derivatives/simple/cds26/fullwidth.jpg
cds120,Collections & Curations,"Memory, Mourning, and Reslience in Grand Bahama",an exhibit,https://culturalmemorybahamas.com/,TRUE,Active,en,Sally Everson et al.,The University of The Bahamas-North,Enjoy our stories,Roopika Risam,2020,,024,caridischo_item,caridischo,img/derivatives/simple/cds120/thumbnail.jpg,img/derivatives/simple/cds120/fullwidth.jpg
cds134,Cabinet of Wonders,Oliwon Lakarayib,a portal,http://oliwonlakarayib.com/,TRUE,Active,fr,Elsa Juston,,"Our digital platform dedicated to the Caribbean.
Each month, videos and podcasts in history, geography, humanities and social sciences.
",,2020,,039,caridischo_item,caridischo,img/derivatives/simple/cds134/thumbnail.jpg,img/derivatives/simple/cds134/fullwidth.jpg
cds108,Cabinet of Wonders,Making of Caribbean Feminisms,a project,https://sta.uwi.edu/igds/mcf/,TRUE,Stable,en,Institute for Gender and Development Studies,UWI St. Augustine,"This Making of Caribbean Feminisms project is founded on the belief that the impulse to further feminist theorising and activism needs to be transmitted to a younger generation. One of the outcomes has been the creation of a Special Collection on Caribbean Feminisms which is now housed in the West Indiana and Special Collections section and the UWISpace online archives of The UWI Alma Jordan Library, St. Augustine Campus",Alex Gil,2020,,010,caridischo_item,caridischo,img/derivatives/simple/cds108/thumbnail.jpg,img/derivatives/simple/cds108/fullwidth.jpg
cds153,Collections & Curations,Slavery Images,image collection,http://slaveryimages.org/s/slaveryimages/page/welcome,TRUE,Active,en,Henry Lovejoy,"University of Colorado, Boulder","This website is envisioned as a tool and a resource that can be used by teachers, researchers, students, and the general public - in brief, anyone interested in the experiences of Africans who were enslaved and transported to the Americas and the lives of their descendants in the slave societies of the New World. ",Roopika Risam,2020,,060,caridischo_item,caridischo,img/derivatives/simple/cds153/thumbnail.jpg,img/derivatives/simple/cds153/fullwidth.jpg
cds147,Collections & Curations,The Cuban American Dream Timeline,a timeline,http://exhibits.uflib.ufl.edu/cubanamericandream/,TRUE,Active,en,Katiana Bagué Alexis Baldacci,George A Smathers Libraries,"A timeline of events that explore the reasons behind the immigration of Cubans to Florida from the 16th to the 21st century, the pressure that such immigration brought to local and state governments, the reactions of Floridian communities to Cuban immigrants, the ways in which Cuban immigrants adapted to their new reality, and the contribution of Cuban immigration to Florida. 
",,2020,,053,caridischo_item,caridischo,img/derivatives/simple/cds147/thumbnail.jpg,img/derivatives/simple/cds147/fullwidth.jpg
cds1,Reference,archipelagos journal,an academic journal,http://archipelagosjournal.org/,TRUE,Active,"en, fr, es","Kaiama Glover, Alex Gil",Columbia University Library,"archipelagos is a born-digital, peer-reviewed publication devoted to creative exploration, debate, and critical thinking about and through digital practices in contemporary scholarly and artistic work in and on the Caribbean. Given the wide implications of the “digital turn” for our very conceptions of knowledge, our mission is to discern the ways in which the digital may enhance and transform our comprehension of the regional and diasporic Caribbean. archipelagos responds to this challenge with three distinct dimensions of critical production: scholarly essays; digital scholarship projects; and digital project reviews.",Alex Gil,2020,,000,caridischo_item,caridischo,img/derivatives/simple/cds1/thumbnail.jpg,img/derivatives/simple/cds1/fullwidth.jpg
cds69,Cabinet of Wonders,Freedom to Believe,project,https://www.freedomtobelieve.info/,TRUE,Active,en,Diana Paton et al.,University of Edinburgh,"Welcome to Freedom to Believe, part of a theatre in education project exploring Caribbean social and religious histoires led by Diana Paton and funded by the Arts and Humanities Research Council.",Roopika Risam,2020,,135,caridischo_item,caridischo,img/derivatives/simple/cds69/thumbnail.jpg,img/derivatives/simple/cds69/fullwidth.jpg
cds41,Collections & Curations,Centro for Puerto Rican Studies Digital Collection,digital collection,https://centroca.hunter.cuny.edu/index.php,FALSE,Stable,en,,Hunter College,"Centro is a research institute that is dedicated to the study and interpretation of the Puerto Rican experience in the United States and that produces and disseminates relevant interdisciplinary research. Centro also collects, preserves, and provides access to library resources documenting Puerto Rican history and culture.",,2020,,105,caridischo_item,caridischo,img/derivatives/simple/cds41/thumbnail.jpg,img/derivatives/simple/cds41/fullwidth.jpg
cds55,Collections & Curations,Dominica History: Building Communities 1838 – 1938,web resource,https://dominicahistory.org/2016/,TRUE,Stable,en,Schuyler Esprit ,Create Caribbean,"The Dominica History web resource is a collaboration between the Division of Culture in Dominica and Create Caribbean Research Institute at Dominica State College. This year, the theme is “Building Communities: 1838-1938.”",Schuyler Esprit ,2020,,120,caridischo_item,caridischo,img/derivatives/simple/cds55/thumbnail.jpg,img/derivatives/simple/cds55/fullwidth.jpg
cds82,Collections & Curations,In All My Dreams,exhibit,http://iamdbookclub.com,TRUE,Active,en,"Kaiama L. Glover, Laurent Dubois",Barnard College,"The “In All My Dreams” book club, held from October 2019 to February 2020 was an informal gathering of readers interested in discovering or exploring Haitian culture through the prism of one of Haiti’s most important works of literary fiction.",Kaiama L. Glover,2020,😍,149,caridischo_item,caridischo,img/derivatives/simple/cds82/thumbnail.jpg,img/derivatives/simple/cds82/fullwidth.jpg
cds96,Collections & Curations,Imagined Homeland: Dominica's Literary Geographies,a project,https://dominicadh.org/homeland/,TRUE,Active,en,Schuyler Esprit ,Create Caribbean,"Imagined Homeland (Dominica’s Literary Geographies) aims to digitally recreate significant historical locations referenced literature by Dominican authors and or set in Dominica through geographical mapping, literary and historical analysis and audiovisual exhibits. The project aims to contextualize the island’s complex literary history and to explore the significant sociopolitical contexts that influenced literature about Dominica’s dynamic physical and social geography.",Schuyler Esprit,2020,,164,caridischo_item,caridischo,img/derivatives/simple/cds96/thumbnail.jpg,img/derivatives/simple/cds96/fullwidth.jpg
cds97,Collections & Curations,Liberated Africans,an exhibit,https://liberatedafricans.dev.matrix.msu.edu/,TRUE,Active,en,Henry B. Lovejoy,"Matrix, Michigan State University","After 1807, over 250,000 people were involved in an international effort to abolish the Atlantic and Indian Ocean slave trades. This resource is dedicated to their memories. ",Roopika Risam,2020,,165,caridischo_item,caridischo,img/derivatives/simple/cds97/thumbnail.jpg,img/derivatives/simple/cds97/fullwidth.jpg
cds83,Collections & Curations,Haiti and the Atlantic World,website,https://haitidoi.com/,TRUE,Stable,en,Julia Gaffield,,This website seeks to encourage the discussion about Haiti’s founding documents and their influences on the broader Atlantic.,Alex Gil,2020,,150,caridischo_item,caridischo,img/derivatives/simple/cds83/thumbnail.jpg,img/derivatives/simple/cds83/fullwidth.jpg
cds54,Collections & Curations,Digital Grainger,an online edition,http://caribbeandigitalnyc.net/2020/,TRUE,Stable,en,"Julie Chun Kim, Cristobal Silva, Alex Gil, Kimberly Takahata, Ami Yoon, Steve Fragano, Lina Jiang, and Elizabeth Cornell",,"The first edition of The Sugar-Cane, a 168-page poem about eighteenth-century Caribbean sugar plantations, appeared in London in 1764. We have created one full-text version of the poem and a page-by-page reading experience, as well as excerpts that highlight counter-plantation themes within the poem.",Kaiama L. Glover,2020,,119,caridischo_item,caridischo,img/derivatives/simple/cds54/thumbnail.jpg,img/derivatives/simple/cds54/fullwidth.jpg
cds40,Maps & Visualizations,Digital Map of the Afro-Cuban Web,digital map,https://hcommons.org/deposits/item/hc:28035/,TRUE,Stable,en,Maya Anderson-González,Humanities Commons,"Gephi visualization of a network of hyperlinks between websites related to Afro-Cuba containing 1486 nodes and 1703 edges, with size indicating degree",Roopika Risam,2020,,104,caridischo_item,caridischo,img/derivatives/simple/cds40/thumbnail.jpg,img/derivatives/simple/cds40/fullwidth.jpg
cds68,Collections & Curations,Curaçao | History,a timeline,https://www.curacaohistory.com/,TRUE,Stable,en,,Nationaal Archief Curaçao,"Experience the modern & ancient historic past events, people and governments of Curaçao",,2020,,134,caridischo_item,caridischo,img/derivatives/simple/cds68/thumbnail.jpg,img/derivatives/simple/cds68/fullwidth.jpg
cds146,Collections & Curations,SPAT Memory Project,collection,http://spatmemoryproject.org,TRUE,Active,en,Schuyler Esprit ,Create Caribbean ,"SPAT Memory Project is a repository for the publications and related documents of the Dominica-based non-profit organization, Small Projects Assistance Team (locally known as SPAT).",Schuyler Esprit,2020,,052,caridischo_item,caridischo,img/derivatives/simple/cds146/thumbnail.jpg,img/derivatives/simple/cds146/fullwidth.jpg
cds152,Collections & Curations,Worker Rebellions in the British Caribbean,timeline,https://cdn.knightlab.com/libs/timeline3/latest/embed/index.html?source=1qZjyqnjo2e37usoVsGgoZU7ZI5NDA6NCCpp2p0EVb2s&font=Default&lang=en&initial_zoom=2&height=650,TRUE,Stable,en,,Working Class History,"Sample timeline from events detailed in Labour rebellions of the 1930s in the British Caribbean region colonies by Richard Hart, put together for the Working Class History project.",Kaneesha Parsard,2020,,059,caridischo_item,caridischo,img/derivatives/simple/cds152/thumbnail.jpg,img/derivatives/simple/cds152/fullwidth.jpg
cds144,Collections & Curations,Slave Trade of the MCC,collection,https://www.zeeuwsarchief.nl/en/zeeland-stories/trans-atlantic-slave-trade/slave-trade-of-the-mcc/,TRUE,Stable,"en, nl",,,"The trading of Africans who were forced into slavery was the ‘core business’ of the MCC (The Middelburgse Commercie Compagnie). From 1732 to 1807, 31.095 African slaves were bought by the MCC with the intention to sell them in the West Indies. The archive of the MCC is kept by the Zeeland Archives and is included on UNESCO’s World Heritage List.",,2020,,050,caridischo_item,caridischo,img/derivatives/simple/cds144/thumbnail.jpg,img/derivatives/simple/cds144/fullwidth.jpg
cds150,Cabinet of Wonders,The Work of Man Has Only Just Begun: Legacies of Césaire,a forum and a researchathon,https://cesairelegacies.cdrs.columbia.edu/,TRUE,In Disrepair,en,"Kaiama Glover, Alex Gil, Kelly Josephs",Columbia University Libraries,"Poet, statesman, and singular voice of the anti-colonial movements of the 20th century, Aimé Césaire continues to influence contemporary discussions of ethics and aesthetics, politics and history in this precariously postcolonial world. In an effort to contribute to Césaire's living legacy, we have organized an online forum in which four pairs of scholars, from a variety of disciplines, offer reflections along four different critical paths",Alex Gil,2020,,057,caridischo_item,caridischo,img/derivatives/simple/cds150/thumbnail.jpg,img/derivatives/simple/cds150/fullwidth.jpg
cds2,Collections & Curations,...... et les chiens se taisaient,a scholarly edition,http://cesaire.elotroalex.com/chiens/,TRUE,Stable,"en, fr",Alex Gil,,"During the height of the fascist Vichy regime in Martinique, Aimé Césaire was secretly at work on a forceful historical drama with the title \""...... Et les chiens se taisaient\""—\""...... and the Dogs Were Silent.\"" The plot of the drama follows the events of the Haitian Revolution and the tragic destiny of its leader, Toussaint L’Ouverture, determined to die betrayed in a frozen cell in the Jura mountains rather than compromise his truth.",Alex Gil,2020,,082,caridischo_item,caridischo,img/derivatives/simple/cds2/thumbnail.jpg,img/derivatives/simple/cds2/fullwidth.jpg
cds56,Collections & Curations,Caribbean Diaspora Project,a Digital Humanities initiative,caribbeandiasporaproject.org,TRUE,Active,en,"Mirerza González-Vélez, Nadjah Ríos Villarini","dLoC, Puerto Rican Foundation for the Humanities","Caribbean Diasporas: Panorama of Carnival Practices is a Digital Humanities initiative by The Diaspora Project aiming to revitalize, reuse and recover primary and secondary sources, as well as artifacts, all related to carnival practices and mobility in the Caribbean.",Roopika Risam,2020,,121,caridischo_item,caridischo,img/derivatives/simple/cds56/thumbnail.jpg,img/derivatives/simple/cds56/fullwidth.jpg
cds42,Collections & Curations,Archivo de Respuestas Emergencias de Puerto Rico (AREPR),archivo,http://arepr.org/,TRUE,Active,"en, es",Christina Boyles,DLoC/Michigan State University,"Supported by the Andrew W. Mellon Foundation, the Archivo de Respuestas Emergencias de Puerto Rico (AREPR) is a freely available Omeka S site that depicts and describes the innovative knowledge production of grassroots community organizations in Puerto Rico in the wake of both natural and man-made disasters. The project involves collaboration between the University of Puerto Rico-Río Piedras, the University of Puerto Rico-Mayagüez, Michigan State University, and the Digital Library of the Caribbean.",Christina Boyles,2020,,106,caridischo_item,caridischo,img/derivatives/simple/cds42/thumbnail.jpg,img/derivatives/simple/cds42/fullwidth.jpg
